embedded,prior_type,item,embedded_content,prior,background,prompt,rating,distribution,raw_probs
p,high_prior,Mary,Mary is pregnant,Mary is taking a prenatal yoga class.,"You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely.","You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely. Fact: Mary is taking a prenatal yoga class. Question: How likely is it that Mary is pregnant?",0.95,-0.001170699,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.0011706986, top_logprobs=[]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-7.89631e-07, top_logprobs=[]), ChatCompletionTokenLogprob(token='95', bytes=[57, 53], logprob=-0.8673471, top_logprobs=[])]"
p,high_prior,Josie,Josie went on vacation to France,Josie loves France.,"You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely.","You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely. Fact: Josie loves France. Question: How likely is it that Josie went on vacation to France?",0.75,-1.86E-06,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-1.8624639e-06, top_logprobs=[]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-1.9361265e-07, top_logprobs=[]), ChatCompletionTokenLogprob(token='75', bytes=[55, 53], logprob=-0.9877821, top_logprobs=[])]"
p,high_prior,Emma,Emma studied on Saturday morning,Emma is in law school.,"You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely.","You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely. Fact: Emma is in law school. Question: How likely is it that Emma studied on Saturday morning?",0.75,-3.13E-07,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-3.1281633e-07, top_logprobs=[]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=0.0, top_logprobs=[]), ChatCompletionTokenLogprob(token='75', bytes=[55, 53], logprob=-0.58470595, top_logprobs=[])]"
p,high_prior,Julian,Julian dances salsa,Julian is Cuban.,"You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely.","You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely. Fact: Julian is Cuban. Question: How likely is it that Julian dances salsa?",0.65,-1.74E-06,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-1.7432603e-06, top_logprobs=[]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-3.1281633e-07, top_logprobs=[]), ChatCompletionTokenLogprob(token='65', bytes=[54, 53], logprob=-1.1567588, top_logprobs=[])]"
p,high_prior,Isabella,Isabella ate a steak on Sunday,Isabella is from Argentina.,"You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely.","You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely. Fact: Isabella is from Argentina. Question: How likely is it that Isabella ate a steak on Sunday?",0.6,-4.32E-07,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-4.3202e-07, top_logprobs=[]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-2.577686e-06, top_logprobs=[]), ChatCompletionTokenLogprob(token='6', bytes=[54], logprob=-1.5110004, top_logprobs=[])]"
p,high_prior,Emily,Emily bought a car yesterday,Emily has been saving for a year.,"You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely.","You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely. Fact: Emily has been saving for a year. Question: How likely is it that Emily bought a car yesterday?",0.3,-3.13E-07,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-3.1281633e-07, top_logprobs=[]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-6.704273e-07, top_logprobs=[]), ChatCompletionTokenLogprob(token='3', bytes=[51], logprob=-1.2124132, top_logprobs=[])]"
p,high_prior,Danny,Danny ate the last cupcake,Danny loves cake.,"You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely.","You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely. Fact: Danny loves cake. Question: How likely is it that Danny ate the last cupcake?",0.7,-2.10E-06,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-2.1008714e-06, top_logprobs=[]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-1.0280384e-06, top_logprobs=[]), ChatCompletionTokenLogprob(token='7', bytes=[55], logprob=-1.1713511, top_logprobs=[])]"
p,high_prior,Grace,Grace visited her sister,Grace loves her sister.,"You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely.","You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely. Fact: Grace loves her sister. Question: How likely is it that Grace visited her sister?",0.75,-1.39E-06,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-1.3856493e-06, top_logprobs=[]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=0.0, top_logprobs=[]), ChatCompletionTokenLogprob(token='75', bytes=[55, 53], logprob=-0.639537, top_logprobs=[])]"
p,high_prior,Zoe,Zoe calculated the tip,Zoe is a math major.,"You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely.","You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely. Fact: Zoe is a math major. Question: How likely is it that Zoe calculated the tip?",0.75,-6.51E-06,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-6.511407e-06, top_logprobs=[]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-6.704273e-07, top_logprobs=[]), ChatCompletionTokenLogprob(token='75', bytes=[55, 53], logprob=-0.58440465, top_logprobs=[])]"
p,high_prior,Frank,Frank got a cat,Frank has always wanted a pet.,"You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely.","You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely. Fact: Frank has always wanted a pet. Question: How likely is it that Frank got a cat?",0.5,-2.82E-06,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-2.8160932e-06, top_logprobs=[]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-1.9361265e-07, top_logprobs=[]), ChatCompletionTokenLogprob(token='5', bytes=[53], logprob=-0.52102256, top_logprobs=[])]"
p,high_prior,Jackson,Jackson ran 10 miles,Jackson is training for a marathon.,"You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely.","You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely. Fact: Jackson is training for a marathon. Question: How likely is it that Jackson ran 10 miles?",0.75,-8.78E-06,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-8.776276e-06, top_logprobs=[]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-5.5122365e-07, top_logprobs=[]), ChatCompletionTokenLogprob(token='75', bytes=[55, 53], logprob=-0.4389636, top_logprobs=[])]"
p,high_prior,Jayden,Jayden rented a car,Jayden's car is in the shop.,"You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely.","You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely. Fact: Jayden's car is in the shop. Question: How likely is it that Jayden rented a car?",0.4,-1.94E-07,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-1.9361265e-07, top_logprobs=[]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-1.9361265e-07, top_logprobs=[]), ChatCompletionTokenLogprob(token='4', bytes=[52], logprob=-1.1381261, top_logprobs=[])]"
p,high_prior,Tony,Tony had a drink last night,Tony really likes to party with his friends.,"You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely.","You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely. Fact: Tony really likes to party with his friends. Question: How likely is it that Tony had a drink last night?",0.75,-4.84E-06,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-4.8425554e-06, top_logprobs=[]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-4.3202e-07, top_logprobs=[]), ChatCompletionTokenLogprob(token='75', bytes=[55, 53], logprob=-0.3911172, top_logprobs=[])]"
p,high_prior,Josh,Josh learned to ride a bike yesterday,Josh is a 5-year old boy.,"You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely.","You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely. Fact: Josh is a 5-year old boy. Question: How likely is it that Josh learned to ride a bike yesterday?",0.4,-1.18E-05,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-1.1756368e-05, top_logprobs=[]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-1.9816675e-06, top_logprobs=[]), ChatCompletionTokenLogprob(token='4', bytes=[52], logprob=-1.1948183, top_logprobs=[])]"
p,high_prior,Owen,Owen shoveled snow last winter,Owen lives in Chicago.,"You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely.","You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely. Fact: Owen lives in Chicago. Question: How likely is it that Owen shoveled snow last winter?",0.75,-0.00018018,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.00018018014, top_logprobs=[]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-4.3202e-07, top_logprobs=[]), ChatCompletionTokenLogprob(token='75', bytes=[55, 53], logprob=-0.7356739, top_logprobs=[])]"
p,high_prior,Olivia,Olivia sleeps until noon,Olivia works the third shift.,"You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely.","You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely. Fact: Olivia works the third shift. Question: How likely is it that Olivia sleeps until noon?",0.85,-0.00020354,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-0.00020354039, top_logprobs=[]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-1.9361265e-07, top_logprobs=[]), ChatCompletionTokenLogprob(token='85', bytes=[56, 53], logprob=-0.8208075, top_logprobs=[])]"
p,high_prior,Jon,Jon walks to work,Jon lives 2 blocks away from work.,"You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely.","You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely. Fact: Jon lives 2 blocks away from work. Question: How likely is it that Jon walks to work?",0.75,-1.96E-05,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-1.962381e-05, top_logprobs=[]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-4.3202e-07, top_logprobs=[]), ChatCompletionTokenLogprob(token='75', bytes=[55, 53], logprob=-0.39848995, top_logprobs=[])]"
p,high_prior,Charley,Charley speaks Spanish,Charley lives in Mexico.,"You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely.","You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely. Fact: Charley lives in Mexico. Question: How likely is it that Charley speaks Spanish?",0.85,-4.58E-05,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-4.5848617e-05, top_logprobs=[]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=0.0, top_logprobs=[]), ChatCompletionTokenLogprob(token='85', bytes=[56, 53], logprob=-0.09982678, top_logprobs=[])]"
p,high_prior,Mia,Mia drank 2 cocktails last night,Mia is a college student.,"You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely.","You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely. Fact: Mia is a college student. Question: How likely is it that Mia drank 2 cocktails last night?",0.5,-9.09E-07,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-9.0883464e-07, top_logprobs=[]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-9.0883464e-07, top_logprobs=[]), ChatCompletionTokenLogprob(token='5', bytes=[53], logprob=-1.0679488, top_logprobs=[])]"
p,high_prior,Sophia,Sophia got a tattoo,Sophia is a hipster.,"You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely.","You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely. Fact: Sophia is a hipster. Question: How likely is it that Sophia got a tattoo?",0.75,-2.22E-06,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-2.220075e-06, top_logprobs=[]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-4.3202e-07, top_logprobs=[]), ChatCompletionTokenLogprob(token='75', bytes=[55, 53], logprob=-0.5105883, top_logprobs=[])]"
p,low_prior,Mary,Mary is pregnant,Mary is a middle school student.,"You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely.","You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely. Fact: Mary is a middle school student. Question: How likely is it that Mary is pregnant?",0.01,-7.90E-07,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-7.89631e-07, top_logprobs=[]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.00012391969, top_logprobs=[]), ChatCompletionTokenLogprob(token='01', bytes=[48, 49], logprob=-0.96648294, top_logprobs=[])]"
p,low_prior,Josie,Josie went on vacation to France,Josie doesn't have a passport,"You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely.","You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely. Fact: Josie doesn't have a passport Question: How likely is it that Josie went on vacation to France?",0.05,-4.32E-07,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-4.3202e-07, top_logprobs=[]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.0019314934, top_logprobs=[]), ChatCompletionTokenLogprob(token='05', bytes=[48, 53], logprob=-0.3220453, top_logprobs=[])]"
p,low_prior,Emma,Emma studied on Saturday morning,Emma is in first grade.,"You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely.","You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely. Fact: Emma is in first grade. Question: How likely is it that Emma studied on Saturday morning?",0.4,-3.13E-07,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-3.1281633e-07, top_logprobs=[]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-1.0280384e-06, top_logprobs=[]), ChatCompletionTokenLogprob(token='4', bytes=[52], logprob=-1.011584, top_logprobs=[])]"
p,low_prior,Julian,Julian dances salsa,Julian is German.,"You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely.","You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely. Fact: Julian is German. Question: How likely is it that Julian dances salsa?",0.3,-3.17E-06,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-3.1737043e-06, top_logprobs=[]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-1.9816675e-06, top_logprobs=[]), ChatCompletionTokenLogprob(token='3', bytes=[51], logprob=-0.8642771, top_logprobs=[])]"
p,low_prior,Isabella,Isabella ate a steak on Sunday,Isabella is a vegetarian.,"You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely.","You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely. Fact: Isabella is a vegetarian. Question: How likely is it that Isabella ate a steak on Sunday?",0.01,-3.13E-07,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-3.1281633e-07, top_logprobs=[]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.023252701, top_logprobs=[]), ChatCompletionTokenLogprob(token='01', bytes=[48, 49], logprob=-0.6772205, top_logprobs=[])]"
p,low_prior,Emily,Emily bought a car yesterday,Emily never has any money.,"You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely.","You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely. Fact: Emily never has any money. Question: How likely is it that Emily bought a car yesterday?",0.05,-1.94E-07,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-1.9361265e-07, top_logprobs=[]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.0024775586, top_logprobs=[]), ChatCompletionTokenLogprob(token='05', bytes=[48, 53], logprob=-0.74942964, top_logprobs=[])]"
p,low_prior,Danny,Danny ate the last cupcake,Danny is a diabetic.,"You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely.","You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely. Fact: Danny is a diabetic. Question: How likely is it that Danny ate the last cupcake?",0.3,-4.32E-07,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-4.3202e-07, top_logprobs=[]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-5.4385737e-06, top_logprobs=[]), ChatCompletionTokenLogprob(token='30', bytes=[51, 48], logprob=-1.5524266, top_logprobs=[])]"
p,low_prior,Grace,Grace visited her sister,Grace hates her sister.,"You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely.","You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely. Fact: Grace hates her sister. Question: How likely is it that Grace visited her sister?",0.2,-4.32E-07,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-4.3202e-07, top_logprobs=[]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-6.2729996e-06, top_logprobs=[]), ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.7970753, top_logprobs=[])]"
p,low_prior,Zoe,Zoe calculated the tip,Zoe is 5 years old.,"You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely.","You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely. Fact: Zoe is 5 years old. Question: How likely is it that Zoe calculated the tip?",0.05,-1.62E-06,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-1.6240566e-06, top_logprobs=[]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.00012391969, top_logprobs=[]), ChatCompletionTokenLogprob(token='05', bytes=[48, 53], logprob=-0.7240743, top_logprobs=[])]"
p,low_prior,Frank,Frank got a cat,Frank is allergic to cats.,"You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely.","You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely. Fact: Frank is allergic to cats. Question: How likely is it that Frank got a cat?",0.1,-4.32E-07,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-4.3202e-07, top_logprobs=[]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.00020425562, top_logprobs=[]), ChatCompletionTokenLogprob(token='10', bytes=[49, 48], logprob=-0.92837244, top_logprobs=[])]"
p,low_prior,Jackson,Jackson ran 10 miles,Jackson is obese.,"You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely.","You will read a fact about the world and are asked to assess how likely an event is, given that fact. Please provide a rating from 0 to 1, where 0 means impossible and 1 means definitely. Fact: Jackson is obese. Question: How likely is it that Jackson ran 10 miles?",0.1,-5.51E-07,"[ChatCompletionTokenLogprob(token='0', bytes=[48], logprob=-5.5122365e-07, top_logprobs=[]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-1.3306016e-05, top_logprobs=[]), ChatCompletionTokenLogprob(token='10', bytes=[49, 48], logprob=-1.0108467, top_logprobs=[])]"
